,ZIP,101. TOTAL RELEASES
0,77511,19795124.745
1,77536,15938460.445004262
2,77979,10590757.020000001
3,77590,8548025.641283251
4,77571,7254231.598740792
5,78380,6571934.711916504
6,77627,6266684.054007
7,77530,4999059.941984074
8,77705,4583984.153725199
9,77541,4286189.979562004
10,77520,4063310.676382627
11,75572,3917809.1500343326
12,79007,3805595.951234587
13,75602,3700107.202745614
14,77630,3572219.1688696826
15,77507,3543322.4163276
16,77905,3093972.916232603
17,77015,2839185.5858200574
18,77856,2773486.3020681543
19,78407,2757395.0778637296
20,77640,2415707.2645968874
21,75455,2342312.028
22,75691,2305754.4022286506
23,77641,2244063.0
24,77701,2006715.473968316
25,77012,2003276.314
26,75846,1999686.2637092732
27,78263,1941407.9407337287
28,77481,1922687.4062838284
29,76682,1723824.4007094468
30,77615,1662792.2553561542
31,77632,1598738.6492528932
32,77580,1596053.2200000002
33,77978,1493554.794860797
34,75650,1405673.5007054785
35,77803,1246567.07
36,78409,1244230.9173880822
37,77983,1115783.4815
38,77651,1098153.3706587404
39,77521,1084577.6582000002
40,79008,1022671.37
41,77463,909763.3014449079
42,78343,880868.9
43,79086,860623.0337147848
44,76065,823029.9883328774
45,78012,802345.8091017735
46,77013,780472.1000000001
47,77662,766579.546967921
48,78728,735048.5229999999
49,77017,728888.29
50,76705,700544.023
51,78155,699644.5530062043
52,79108,690482.5108997053
53,78754,674574.44
54,79720,617488.7999999999
55,77523,579385.7019999999
56,77029,575948.69
57,77301,554875.3278000001
58,77506,505690.5493
59,77545,502650.43219
60,77713,502001.2
61,77665,493588.82
62,77642,466332.92000000004
63,75844,465771.39
64,76629,442002.077165015
65,77960,439422.60089750076
66,76060,434952.12830000004
67,78071,427418.30467636965
68,76033,424890.52259999997
69,75935,419871.0
70,75686,410859.101322772
71,75604,398157.89099999995
72,75041,383570.23850000004
73,75165,355608.6255542
74,76801,343324.97
75,77547,321962.671184
76,77414,317173.528
77,77503,313457.0465
78,76544,293484.017
79,77480,292134.8
80,75081,284634.3924
81,77032,280083.13
82,79916,270460.0
83,79932,267314.0
84,75110,228333.797
85,75662,225388.9399
86,76712,224575.945
87,77303,224480.28519999998
88,78673,222627.0
89,78945,221985.2228432984
90,76384,218131.500661386
91,78521,209773.494404
92,76063,207726.78
93,77041,205464.32094600002
94,75803,205287.0
95,78410,182371.27999999997
96,79766,182127.02203
97,75119,172118.0161
98,77478,171103.2008
99,78359,166630.5016718435
100,75006,165665.46890000004
101,79404,161619.0
102,76513,159996.087
103,77091,158264.4
104,77051,155609.57
105,79035,154012.4
106,79013,145445.69999999998
