,id,Geographic Area Name,"Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level,Estimate!!Total!!Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level,Estimate!!Below poverty level!!Population for whom poverty status is determined,Estimate!!Below poverty level!!Population for whom poverty status is determined!!AGE!!Under 18 years,Estimate!!Below poverty level!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!AGE!!Under 18 years,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Percent below poverty level!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
0,75001,ZCTA5 75001,6440,2194,115,1495,0,1800,3893,619,2311,2808,3657,3838,5983,8019,9729,1626,409,177,194,28,185,0,439,864,315,10.9,18.8,22.9,8.8,24.3,12.4,-,24.4,22.2,4.9
2,75006,ZCTA5 75006,17345,4443,80,3849,44,1955,24873,2181,9006,12326,16212,17753,27595,34229,39307,5532,2397,802,425,6,321,0,331,3755,949,10.8,18.7,21.5,9.6,7.5,8.3,0.0,16.9,15.1,5.5
7,75019,ZCTA5 75019,23374,1956,84,10594,7,351,5572,367,1879,2458,3321,4256,7834,12590,16481,1138,418,154,73,0,394,0,12,165,384,2.7,3.6,5.8,3.7,0.0,3.7,0.0,3.4,3.0,1.6
8,75020,ZCTA5 75020,18384,1395,338,298,0,145,1465,1355,4160,5444,7449,8088,12700,16711,19023,3151,932,231,102,70,20,0,42,379,2388,13.9,18.1,15.7,7.3,20.7,6.7,-,29.0,25.9,13.0
14,75028,ZCTA5 75028,34595,2227,201,4371,28,581,5112,757,1713,2062,2974,3349,6820,12670,18220,1179,318,11,14,12,164,0,3,53,916,2.5,2.5,0.4,0.6,6.0,3.8,0.0,0.5,1.0,2.6
15,75032,ZCTA5 75032,23051,2226,24,1210,0,665,5888,498,2121,2783,4203,5271,8653,12018,15974,1493,513,20,64,0,0,0,0,524,855,4.5,5.9,1.2,2.9,0.0,0.0,-,0.0,8.9,3.7
17,75035,ZCTA5 75035,37973,6816,434,20256,8,1164,7536,1129,3076,3892,4877,5679,11570,19689,28167,2189,637,109,635,0,378,0,89,124,925,2.9,2.7,2.3,9.3,0.0,1.9,0.0,7.6,1.6,2.4
18,75038,ZCTA5 75038,5091,8803,85,9586,320,704,5707,1443,5055,6241,8427,9992,15259,18606,22377,4114,1363,515,1209,26,1703,0,34,737,390,13.8,19.3,18.4,13.7,30.6,17.8,0.0,4.8,12.9,7.7
20,75040,ZCTA5 75040,14980,7412,340,7782,0,4179,30019,2119,10711,15451,21824,24292,36408,46750,52866,6717,2592,458,670,61,491,0,596,4499,929,10.8,15.5,11.4,9.0,17.9,6.3,-,14.3,15.0,6.2
21,75041,ZCTA5 75041,7633,2180,150,710,27,2664,19712,1935,9151,11137,14495,15837,20997,24360,26886,6763,3392,1135,364,60,53,0,534,5506,702,22.0,34.8,42.1,16.7,40.0,7.5,0.0,20.0,27.9,9.2
22,75042,ZCTA5 75042,7627,3849,187,5019,0,2281,22224,2263,9792,12661,16178,17691,26894,32416,35447,7406,3658,880,1019,0,1343,0,288,4406,744,19.0,31.2,27.9,26.5,0.0,26.8,-,12.6,19.8,9.8
26,75050,ZCTA5 75050,9639,7181,125,1004,11,3688,24428,2579,9386,11640,15510,17360,26757,32189,35858,6333,3062,1046,824,45,17,0,359,4739,658,14.8,26.2,29.2,11.5,36.0,1.7,0.0,9.7,19.4,6.8
27,75051,ZCTA5 75051,5632,5202,190,927,0,4003,28689,2741,11503,14282,19057,20533,30502,35594,37858,7903,3292,875,934,95,85,0,674,5890,877,19.4,26.3,26.1,18.0,50.0,9.2,-,16.8,20.5,15.6
28,75052,ZCTA5 75052,21690,27059,323,9173,86,7651,35251,3215,9635,13061,19019,21301,41117,56794,69930,6780,2619,363,1967,19,863,0,217,2847,969,7.1,10.2,6.2,7.3,5.9,9.4,0.0,2.8,8.1,4.5
31,75057,ZCTA5 75057,5136,1985,7,385,56,1149,6966,472,3164,4223,5469,5759,8304,10741,12301,2020,863,218,128,0,45,0,131,1405,402,13.6,22.2,24.8,6.4,0.0,11.7,0.0,11.4,20.2,7.8
33,75060,ZCTA5 75060,10477,2963,263,2735,66,12752,30872,2225,11958,15428,19181,21356,31213,37103,41528,7259,3216,1025,696,0,74,0,2564,5125,1281,15.2,22.2,28.7,23.5,0.0,2.7,0.0,20.1,16.6,12.2
34,75061,ZCTA5 75061,9754,4848,307,2199,7,14710,36771,2838,12808,17165,22984,25450,38073,44839,48443,8792,4032,1012,839,28,270,0,2792,6800,815,16.3,24.5,20.8,17.3,9.1,12.3,0.0,19.0,18.5,8.4
35,75062,ZCTA5 75062,11354,7937,305,4852,65,6726,23061,1968,8975,12435,17294,19118,30313,36060,41526,6005,2198,521,585,9,826,0,1428,2820,1242,12.4,16.4,14.5,7.4,3.0,17.0,0.0,21.2,12.2,10.9
