,ZIP,101. TOTAL RELEASES
0,77511,4881777.295999999
1,77979,3529297.59
2,77536,3511945.158704259
3,77530,1386491.3206840744
4,78380,1007566.601916503
5,77630,809749.1008696826
6,78728,734881.89
7,77651,502218.92065874045
8,77978,489737.0648607966
9,77012,445537.6
10,77571,428765.0467407951
11,76060,418787.40030000004
12,77541,365864.8156020035
13,77507,364162.63702999987
14,77520,334963.2263808276
15,77590,320552.80128325196
16,78343,261065.4
17,79720,251896.3
18,75602,240735.8527456139
19,77015,234518.9466700576
20,76801,234127.14
21,78673,222627.0
22,77017,212233.29
23,77627,211665.4
24,78155,209529.2620062042
25,77032,178259.0
26,76513,158996.0
27,78407,158152.4428384301
28,79086,157150.5237147847
29,77545,153924.661
30,77640,153673.04449688742
31,75662,137853.9386
32,77701,127604.115968316
33,78942,122957.01000000001
34,75119,120923.02460000002
35,77705,111998.4851812
36,77905,96952.70623260304
37,77521,93597.6482
38,77039,93546.35
39,79714,89281.3120001
40,77503,81086.38130000001
41,79602,75353.3864
42,79762,74178.08
43,79782,73794.3
44,76401,71449.128
45,78409,69643.59445708196
46,77642,67605.0
47,77856,64782.00206815402
48,77615,62656.59135615394
49,75155,61475.0
50,78359,59671.630671843486
51,77051,59337.770000000004
52,77414,57018.212
53,79007,54145.09123458719
54,76033,52291.560000000005
55,76704,51631.25
56,75650,49718.0007054784
57,77073,48480.0
58,76544,48002.0
59,75572,44209.877034332865
60,77713,43800.0
61,79108,39079.55089970543
62,75951,36356.0
63,78410,35899.77
64,76011,35561.41
65,78118,35506.8
66,76065,34409.40676517739
67,76240,34261.2449
68,77045,34184.4923
69,78132,33488.03717645935
70,75691,30218.20222865036
71,78526,29592.0
72,77632,29181.0054628934
73,78217,28828.0
74,77478,28779.728999999996
75,77983,28259.0
76,77656,27602.268
77,75110,27207.797
78,77539,24833.0
79,79045,23344.0
80,79110,22490.83
81,75652,22447.0
82,75134,21492.0
83,75165,20602.0144
84,78071,20406.4197763696
85,75846,19859.84370927315
86,77547,19815.54
87,78012,19757.50910177367
88,76117,18875.0
89,76504,18653.443
90,76086,18391.284200000002
91,77463,17834.601444907945
92,78263,17545.0027337288
93,77523,17186.660000000003
94,75633,17011.0
95,78414,16922.0
96,78045,16390.0
97,77506,16214.139799999997
98,76682,16136.000709446716
99,78041,15747.615
100,77481,15297.806283828386
101,75050,14973.47192
102,76710,14805.0
103,77480,14399.2
104,75041,13902.142500000002
105,75657,13818.000345799057
106,79065,13798.0
107,76712,13711.131
108,77417,13638.0
109,79118,13502.26
110,79905,13244.730000000001
111,78114,12906.54
112,77587,12574.84
113,75644,12299.7876
114,79068,11769.79093
115,76629,11441.127165015001
116,76031,11296.874483473166
117,77041,11061.067113
118,75672,10947.0
119,76118,9976.285
120,78154,9624.24
121,78840,8983.33
122,77064,8778.860269
123,76010,8243.795
124,78249,8173.1
125,75020,8089.497399999999
126,76164,7960.0236
127,75686,7537.001322772
128,78112,7532.0352
129,76354,7480.0
130,75702,7305.040744062117
131,75766,7092.0
132,75901,7014.799999999999
133,75006,6995.2079
134,75604,6916.91
135,77641,6671.0
136,75243,6620.0
137,75961,6356.780327866898
138,77879,5916.6
139,77301,5844.0078
140,78119,5556.0
141,76543,5542.08
142,76127,5517.7
143,79008,5187.13
144,78638,5181.0
145,75751,4960.0
146,75042,4855.72
147,75261,4778.0
148,75061,4657.987
149,76634,4611.0
150,78602,4398.7
151,75670,4333.900000000001
152,78223,4193.03
153,76009,4188.636
154,78015,3746.4
155,77053,3741.0
156,79072,3537.0
157,79843,3466.45
158,78834,3423.89
159,75645,3405.14
160,77009,3344.5
161,75040,3196.1000000000004
162,77303,3162.1471
163,77020,3142.1476000000002
164,78264,2921.2858
165,79764,2899.7
166,77833,2885.5
167,77087,2807.4947
168,78945,2785.712843298414
169,77378,2737.0
170,78503,2736.0
171,77868,2649.54
172,76936,2486.0
173,77047,2359.149562
174,78419,2349.0
175,76078,2243.0
176,77581,2010.3603
177,75063,1988.372
178,75229,1983.4439
179,77094,1946.0
180,76067,1919.7
181,76903,1849.9128
182,76248,1749.0
183,77583,1694.0091
184,78236,1665.8000000000002
185,77028,1623.8020000000001
186,78613,1606.08
187,77095,1565.0
188,75668,1534.299
189,78140,1510.0
190,77205,1510.0
191,77484,1505.0
192,79703,1500.0
193,77801,1487.0
194,79756,1352.1
195,77075,1082.69
196,79915,1020.0
197,76905,1000.0
198,75235,1000.0
199,76063,998.6
200,75087,992.33
201,76384,987.000661386
202,76574,918.37021
203,76305,918.0
204,77535,862.7972
205,77050,835.56
206,77091,811.0
207,77375,760.1009999999999
208,75418,750.0
209,75160,749.1116000000001
210,77302,731.9
211,76040,719.5428
212,75135,712.248
213,75501,700.3001596144879
214,79706,680.947
215,75062,670.1
216,77340,668.07
217,77586,653.32
218,77662,644.493767920893
219,77807,559.52
220,77493,552.1071000000001
221,75212,543.24733
222,77580,495.83
223,78219,484.52783999999997
224,78363,482.0
225,79601,451.13
226,75835,446.3
227,76501,435.0
228,77803,400.0
229,78411,374.07
230,75236,340.317
231,76044,324.24
232,76108,300.11400000000003
233,76310,296.365
234,75707,294.40000000000003
235,77086,291.02
236,77380,288.0
237,79403,272.57
238,77029,270.64000000000004
239,78724,262.0
240,75082,257.0
241,78644,252.4103
242,75159,250.02242999999999
243,78226,238.01
244,77055,237.0
245,75428,229.24906988185757
246,77037,226.0
247,75941,198.0
248,76645,183.93
249,78362,177.830311
250,76705,163.0
251,77704,154.322
252,79415,151.54850000000002
253,75149,146.37849999999997
254,79765,133.0
255,75473,129.6
256,76114,127.0
257,75234,124.47
258,78610,124.3912
259,78402,122.4695
260,75142,121.55
261,79835,112.43
262,75402,106.50399999999999
263,75844,97.39
264,79916,96.0
265,75060,92.0
266,77049,88.63470000000001
267,78759,82.133
268,75247,81.86222500000001
269,75215,73.383
270,75934,69.3
271,76053,69.1706
272,76180,65.98
273,76667,59.0
274,78861,58.97
275,75904,57.0
276,75603,53.912
277,75069,53.4624
278,76311,50.0
279,76001,45.3
280,78374,44.080000000000005
281,75607,42.79
282,77060,42.5428
283,76448,41.7
284,76036,37.813900000000004
285,79549,35.0
286,76066,25.624
287,78218,25.347
288,75161,25.0
289,75486,24.0
290,77445,23.0
291,75098,21.6399
292,78725,20.9314
293,75078,20.339299999999998
294,79364,20.0
295,76137,20.0
296,76179,19.4568
297,78626,18.5734
298,75001,16.904
299,76008,16.7462
300,77385,16.1162
301,76035,15.0
302,77554,14.85
303,75979,13.07
304,75035,12.579500000000001
305,75057,12.1323
306,76430,11.59
307,75115,10.887
308,78064,10.0
309,78332,10.0
310,77021,10.0
311,75656,9.994
312,79707,9.8052
313,79526,8.74
314,76262,8.625
315,75169,8.0
316,76111,7.8278
317,75051,7.4
318,75968,7.0002
319,77665,7.0
320,76207,6.934
321,76904,6.4441999999999995
322,78336,6.38
323,75801,5.0
324,76670,5.0
325,75455,5.0
326,77026,5.0
327,79382,5.0
328,76205,4.3024
329,75032,4.2261
330,77477,4.15
331,77038,4.0
332,78216,4.0
333,76049,3.7792
334,79606,3.76
335,77054,3.0
336,75167,2.8212
337,79603,2.7406
338,75216,2.4861
339,78641,2.4722
340,77044,2.387
341,78266,2.3843612999999997
342,78745,2.3265
343,75831,2.31
344,76140,2.1099
345,77013,2.1
346,76148,2.0559
347,76177,2.0228
348,76028,2.0
349,75146,2.0
350,75090,1.861
351,76106,1.8
352,75227,1.64
353,79031,1.620488984716
354,77960,1.300897500802
355,75181,1.1814
356,79766,1.05
357,75688,1.0390000000000001
358,79936,0.9
359,76934,0.77
360,76655,0.7670180000000001
361,78642,0.725
362,78633,0.6803
363,76579,0.67
364,78721,0.644
365,76527,0.6342
366,75692,0.623
367,76703,0.59
368,78521,0.584404
369,78664,0.55
370,78747,0.5217
371,75638,0.502
372,76706,0.46799999999999997
373,75104,0.339104
374,75203,0.33
375,78669,0.3164
376,76657,0.3
377,75238,0.28047
378,75109,0.2769
379,78702,0.24358400000000002
380,78550,0.23
381,78843,0.2
382,79316,0.1493
383,75407,0.1341
384,75028,0.1318
385,79360,0.11900000000000001
386,76247,0.1119
387,77022,0.10400000000000001
388,79763,0.098
389,77081,0.0846
390,76244,0.075
391,75038,0.0739
392,79407,0.069537
393,77034,0.0661
394,77469,0.0605
395,76092,0.0511
396,75067,0.049
397,76018,0.047
398,75081,0.0454
399,75925,0.04
400,77494,0.0379
401,76084,0.0312
402,78611,0.028999999999999998
403,77471,0.0281
404,75708,0.027999999999999997
405,75859,0.027469999999999998
406,77036,0.026000000000000002
407,75454,0.0218
408,76208,0.020941372740000002
409,77357,0.020125999999999998
410,75211,0.0196
411,75019,0.0187
412,76301,0.017
413,77373,0.0138
414,76134,0.0136
415,78827,0.012
416,77447,0.011235
417,77396,0.0091
418,75093,0.006
419,76642,0.006
420,77335,0.0035
421,77327,0.0023
422,77351,0.0022
423,78250,0.0015
424,75939,0.000524038174
425,75570,0.000195549794
426,75561,1.178148928e-06
427,78962,0.0
428,77040,0.0
429,76950,0.0
430,79556,0.0
431,77011,0.0
432,79711,0.0
433,79323,0.0
434,77033,0.0
435,75071,0.0
436,75052,0.0
437,78852,0.0
438,79336,0.0
439,78666,0.0
440,78837,0.0
441,76234,0.0
442,75701,0.0
443,77459,0.0
444,77508,0.0
445,77515,0.0
446,77578,0.0
447,77584,0.0
448,77423,0.0
449,76502,0.0
450,75647,0.0
451,78017,0.0
452,78073,0.0
453,78222,0.0
454,75568,0.0
455,75551,0.0
456,78501,0.0
457,77043,0.0
458,75442,0.0
459,78621,0.0
460,78653,0.0
461,78654,0.0
462,77092,0.0
463,77077,0.0
464,78665,0.0
465,77474,0.0
466,77070,0.0
467,76021,0.0
468,77061,0.0
469,78735,0.0
470,76155,0.0
471,77048,0.0
472,78254,0.0
